#genes:49
#downstream:500	upstream:500	body:0	bin size:10	unscaled 5 prime:0	unscaled 3 prime:0
121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE
6.849	6.875	6.937	7.076	7.137	7.225	7.364	7.565	7.614	7.397	7.544	7.666	7.964	8.177	8.262	8.352	8.393	8.573	8.771	9.02	9.185	9.155	9.064	9.359	9.299	9.358	9.487	9.567	9.679	9.609	9.557	9.544	9.44	9.364	9.131	8.89	8.79	8.741	8.66	8.595	8.323	8.236	8.207	8.109	8.09	7.964	7.783	7.522	7.327	7.177	6.98	6.788	6.59	6.293	5.923	5.616	5.563	5.393	5.085	4.88	4.861	4.695	4.514	4.331	4.095	3.825	3.74	3.581	3.379	3.216	3.117	3.033	2.899	2.832	2.683	2.572	2.433	2.365	2.215	2.054	1.964	1.887	1.818	1.715	1.662	1.568	1.492	1.389	1.326	1.139	1.043	0.9733	0.9296	0.8749	0.8652	0.8482	0.7971	0.7595	0.7194	0.6878	8.185	8.273	8.402	8.582	8.584	8.695	8.781	8.931	8.837	8.735	8.802	8.856	8.922	8.806	8.804	8.903	8.949	9.024	8.93	8.83	8.787	8.562	8.245	8.314	8.086	8.147	8.159	8.252	8.309	8.179	8.145	8.08	7.95	7.89	7.775	7.572	7.492	7.492	7.393	7.273	7.051	6.973	7.032	6.98	6.938	6.956	6.873	6.699	6.621	6.661	6.52	6.379	6.286	6.176	5.969	5.821	5.782	5.589	5.517	5.474	5.464	5.493	5.412	5.189	4.981	4.792	4.76	4.586	4.238	4.099	4.027	3.962	3.903	3.754	3.621	3.445	3.265	3.171	2.882	2.741	2.624	2.52	2.413	2.269	2.185	2.007	1.958	1.796	1.676	1.569	1.492	1.457	1.372	1.333	1.282	1.213	1.202	1.167	1.186	1.216
1.467	1.61	1.747	1.979	2.169	2.431	2.707	2.906	3.186	3.516	3.885	4.436	4.74	5.004	5.33	5.558	5.888	6.328	6.673	7.34	7.847	8.292	8.528	8.656	8.867	8.821	8.992	9.206	9.297	9.538	9.931	10	10	10.16	10.4	10.42	10.62	10.82	10.72	10.73	10.43	10.49	10.51	10.43	10.21	9.974	9.704	9.408	9.167	8.787	8.838	8.785	8.667	8.417	8.09	7.775	7.568	7.492	7.322	7.052	6.647	6.379	6.082	5.747	5.607	5.179	4.851	4.562	4.238	4.066	3.786	3.608	3.463	3.197	2.945	2.754	2.58	2.363	2.177	2.043	1.784	1.562	1.4	1.256	1.214	1.105	0.9747	0.856	0.7852	0.7238	0.6873	0.6231	0.6079	0.5861	0.5535	0.5446	0.505	0.4764	0.4821	0.4729	1.109	1.219	1.327	1.472	1.758	2.029	2.374	2.612	2.926	3.316	3.655	4.116	4.215	4.396	4.757	5.026	5.388	5.756	6.078	6.443	6.753	7.14	7.366	7.483	7.564	7.594	7.651	7.778	7.848	7.981	8.171	8.352	8.333	8.447	8.702	8.647	8.805	9.13	9.22	9.321	9.037	9.021	9.045	9.095	8.961	8.597	8.371	8.076	8.029	7.864	7.883	7.735	7.548	7.32	7.167	6.901	6.691	6.729	6.574	6.418	6.096	5.974	5.883	5.73	5.343	5.018	4.805	4.562	4.421	4.411	4.247	3.906	3.8	3.727	3.68	3.584	3.506	3.185	3.053	3.008	2.907	2.644	2.442	2.353	2.25	2.087	1.918	1.843	1.786	1.689	1.554	1.462	1.412	1.381	1.328	1.249	1.166	1.126	1.084	1.013
0.9195	0.9713	1.003	0.9917	0.9599	0.9855	0.9852	0.9358	0.9762	0.9836	0.9935	1.006	1.032	1.068	1.107	1.125	1.1	1.16	1.145	1.179	1.225	1.394	1.56	1.667	1.753	1.89	2.138	2.303	2.445	2.551	2.747	3.009	3.203	3.358	3.483	3.604	3.863	4.094	4.276	4.365	4.614	4.857	5.028	5.199	5.431	5.798	5.954	6.131	6.271	6.333	6.509	6.641	6.661	6.713	6.774	6.665	6.66	6.522	6.45	6.639	6.796	6.883	6.922	6.873	6.621	6.454	6.257	6.043	5.882	5.74	5.833	5.725	5.521	5.541	5.523	5.471	5.553	5.778	6.045	6.344	6.499	6.591	6.626	6.651	6.624	6.762	6.851	6.876	6.768	6.719	6.766	6.591	6.588	6.705	6.674	6.538	6.561	6.633	6.64	6.512	1.014	1.048	1.069	1.091	1.105	1.118	1.133	1.146	1.152	1.129	1.136	1.15	1.181	1.187	1.185	1.191	1.217	1.263	1.331	1.426	1.52	1.74	1.816	1.909	2.044	2.202	2.38	2.567	2.792	2.973	3.252	3.486	3.66	3.841	4.006	4.177	4.337	4.464	4.737	4.866	5.039	5.106	5.227	5.45	5.644	5.873	6.097	6.352	6.569	6.622	6.763	6.839	6.735	6.669	6.837	6.749	6.633	6.65	6.737	6.648	6.719	6.898	7.181	7.309	7.192	7.059	6.922	6.848	6.706	6.59	6.649	6.528	6.515	6.576	6.559	6.646	6.773	6.953	7.152	7.333	7.364	7.33	7.146	7.145	7.101	7.238	7.258	7.365	7.41	7.388	7.464	7.382	7.247	7.172	7.019	6.909	6.867	6.916	6.963	6.804
2.516	2.762	2.864	2.892	2.912	2.974	3.201	3.586	3.906	4.09	4.406	4.915	5.357	5.804	6.452	6.999	7.491	8.286	9.029	9.968	10.56	10.75	10.88	11.18	11.4	11.63	11.75	11.42	11.49	11.63	11.95	12.25	12.16	11.91	11.94	11.75	11.47	11.14	10.96	10.75	10.4	10.16	9.651	9.272	9.123	9.056	8.737	8.396	8.019	7.344	7.122	6.84	6.834	6.864	6.595	6.184	6	5.661	5.433	5.057	4.685	4.433	4.136	3.842	3.293	3.127	2.991	2.844	2.634	2.385	2.156	1.999	1.933	1.81	1.74	1.646	1.488	1.437	1.419	1.366	1.32	1.196	1.156	1.184	1.129	1.104	1.063	1.112	1.172	1.217	1.296	1.306	1.276	1.284	1.393	1.52	1.563	1.643	1.762	1.867	1.635	1.781	1.815	1.878	1.999	2.237	2.567	2.897	3.082	3.37	3.787	4.334	4.747	5.094	5.39	5.902	6.436	7.117	7.585	8.206	8.524	8.716	8.954	9.221	9.271	9.39	9.489	9.381	9.736	9.801	9.812	9.78	9.462	9.259	9.184	8.898	8.767	8.58	8.458	8.372	8.207	8.058	7.805	7.608	7.559	7.487	7.293	6.903	6.53	6.244	6.169	6.079	6.033	5.897	5.782	5.587	5.452	5.256	5.166	4.978	4.68	4.471	4.225	4.077	3.768	3.611	3.453	3.278	3.118	2.938	2.794	2.691	2.551	2.483	2.289	2.188	2.178	2.13	2.059	1.96	1.867	1.772	1.726	1.593	1.545	1.448	1.378	1.391	1.404	1.413	1.443	1.477	1.449	1.487	1.545	1.561	1.61	1.66	1.692	1.767
6.145	6.23	6.332	6.402	6.987	7.294	7.495	7.688	8.007	8.359	8.527	8.667	8.801	8.979	9.199	9.732	10.01	10.27	10.8	11.22	11.35	11.52	11.55	11.74	11.63	11.8	11.86	12.03	11.87	11.67	11.77	11.74	11.69	11.64	11.35	11.3	11.08	10.73	10.58	10.27	10.09	9.798	9.586	9.296	9.043	8.436	8.239	7.783	7.309	7.159	7.081	6.988	6.667	6.233	6.099	5.934	5.772	5.465	5.23	5.094	4.981	4.837	4.652	4.457	4.314	4.118	4.137	4.102	4.067	3.991	3.913	3.734	3.498	3.372	3.292	3.235	3.062	2.973	2.948	2.943	2.823	2.76	2.678	2.564	2.487	2.399	2.27	2.182	2.108	2.041	1.88	1.769	1.619	1.54	1.461	1.365	1.207	1.152	1.089	1.016	6.53	6.556	6.69	6.645	6.688	7.058	7.284	7.579	7.954	8.389	8.71	8.652	8.86	9.03	9.147	9.584	9.701	9.845	10.25	10.71	10.91	11.01	11.14	11.4	11.48	11.5	11.45	11.51	11.51	11.36	11.17	10.94	10.81	10.85	10.86	10.84	10.81	10.53	10.34	10.07	9.868	9.633	9.557	9.406	9.274	9.176	9.052	8.781	8.44	8.236	8.202	8.045	7.763	7.471	7.479	7.425	7.366	7.078	7	6.925	6.798	6.724	6.666	6.611	6.42	6.296	6.248	6.253	6.026	5.97	5.915	5.707	5.685	5.54	5.453	5.275	5.037	4.925	4.875	4.847	4.808	4.744	4.654	4.45	4.137	3.87	3.542	3.256	3.087	2.929	2.773	2.631	2.459	2.279	2.151	2.011	1.92	1.799	1.685	1.602
1.033	1.043	1.147	1.256	1.375	1.701	1.943	2.223	2.528	2.815	3.245	3.665	4.201	4.472	4.513	4.74	5.078	5.415	5.92	6.558	7.231	7.562	8.452	9.361	9.746	10.25	10.74	11.19	11.53	11.95	12.29	12.51	12.18	12.47	12.18	12.79	13.51	13.52	13.08	13.14	13.19	13.35	13.61	13.74	13.67	13.49	13.45	13.67	13.65	13.12	13.45	13.61	13.35	13.55	13.42	13.25	13.13	13.25	13.26	13.08	13.21	12.97	12.58	11.67	11.45	11.63	11.15	10.7	10.49	10.23	9.939	9.495	9.161	8.683	8.316	8.245	7.877	7.711	7.29	7.022	6.759	6.669	6.734	6.949	7.09	7.132	7.075	7.124	7.059	7.116	7.149	7.095	6.928	6.9	6.839	7.03	7.024	6.977	6.987	6.982	0.8368	0.8537	0.8929	0.9648	1.035	1.079	1.149	1.29	1.4	1.61	1.851	2.173	2.463	2.668	2.869	3.081	3.329	3.74	4.197	4.601	5.035	5.334	6.054	6.544	6.878	7.205	7.506	7.994	8.237	8.561	8.856	9.063	9.227	9.318	9.289	9.598	9.831	10.1	10	10.02	10.11	10.25	10.54	10.66	10.81	10.96	11.03	11.23	11.41	11.3	11.52	11.61	11.68	11.83	11.86	11.83	11.83	11.96	11.9	11.93	11.77	11.6	11.35	10.91	10.8	10.8	10.44	10	9.817	9.642	9.362	8.981	8.552	8.035	7.816	7.753	7.484	7.384	7.278	7.419	7.362	7.423	7.408	7.481	7.397	7.392	7.318	7.237	7.166	7.177	7.173	7.167	7.144	7.023	7.042	7.177	7.18	7.192	7.196	7.077
1.551	1.651	1.746	1.767	1.821	1.806	1.882	2.034	2.163	2.273	2.359	2.59	2.955	3.196	3.412	3.736	4.292	4.638	4.8	4.883	5.069	5.422	5.813	6.086	6.683	7.368	7.981	8.869	9.672	10.28	10.85	11.6	11.97	12.1	12.6	13	12.99	13.21	13.71	13.88	14.18	14.13	14.01	13.83	13.76	13.49	13.37	13.06	12.84	12.75	12.54	12.27	12.16	12.07	11.77	11.53	11.22	10.9	10.67	10.45	10.25	9.953	9.631	9.342	9.017	8.768	8.927	8.967	8.885	8.569	8.34	8.263	8.093	7.865	7.551	7.511	7.426	7.087	6.744	6.236	5.959	5.593	5.444	5.196	5.097	4.936	4.827	4.607	4.151	3.879	3.637	3.308	3.057	2.869	2.683	2.502	2.427	2.252	2.108	2.09	1.174	1.173	1.161	1.146	1.142	1.127	1.15	1.195	1.252	1.333	1.393	1.487	1.634	1.755	1.86	2.088	2.51	2.751	3.007	3.068	3.028	3.128	3.222	3.467	3.817	4.074	4.37	4.778	5.075	5.273	5.419	5.641	5.971	6.252	6.594	6.836	7.018	7.152	7.313	7.388	7.298	7.195	7.251	7.334	7.454	7.523	7.593	7.595	7.583	7.522	7.418	7.425	7.339	7.286	7.062	6.973	6.928	6.711	6.512	6.506	6.454	6.412	6.376	6.193	5.99	5.883	5.904	5.921	5.865	5.866	5.907	5.866	5.831	5.739	5.519	5.503	5.531	5.401	5.265	5.024	4.838	4.675	4.599	4.418	4.296	4.146	4.027	3.878	3.555	3.44	3.272	3.01	2.876	2.615	2.535	2.396	2.266	2.076	1.961	1.9
6.149	6.422	6.475	6.689	6.812	6.926	7.219	7.553	7.58	7.91	8.109	8.342	8.692	9.492	9.773	10.12	10.46	10.73	10.63	10.92	11.16	11.52	11.86	12.27	12.56	12.64	12.97	13.2	13.42	13.61	13.59	13.75	13.77	13.85	13.67	13.62	13.49	13.25	13.16	12.9	12.58	12.4	12.27	12.1	11.77	11.46	10.97	10.38	9.772	9.552	9.02	8.758	8.325	8.046	7.646	7.23	7.134	6.857	6.491	6.171	5.743	5.331	5.098	4.911	4.744	4.457	4.39	4.247	4.044	3.838	3.597	3.457	3.404	3.259	3.04	2.737	2.466	2.284	2.157	2.002	1.925	1.785	1.691	1.638	1.589	1.475	1.382	1.32	1.294	1.293	1.251	1.124	1.034	0.9912	1.031	0.9671	0.9813	0.9315	0.9012	0.8903	5.764	5.79	5.799	5.933	6.002	6.138	6.239	6.572	6.828	7.091	7.157	7.64	7.597	7.913	7.95	7.959	8.21	8.441	8.613	8.936	9.131	9.389	9.622	9.725	10.03	10.21	10.27	10.17	10.34	10.51	10.64	10.65	10.6	10.58	10.48	10.31	10.12	10.11	10.2	9.963	9.732	9.742	9.72	9.587	9.383	9.111	8.849	8.637	8.546	8.458	8.054	7.704	7.421	7.27	6.972	6.676	6.434	6.112	5.939	5.794	5.414	5.077	4.92	4.739	4.644	4.404	4.249	4.031	3.857	3.619	3.478	3.374	3.329	3.228	3.056	2.801	2.488	2.305	2.144	2.012	1.901	1.759	1.7	1.559	1.491	1.457	1.328	1.259	1.254	1.207	1.132	1.015	0.968	0.932	0.9077	0.8601	0.8184	0.7956	0.7906	0.7901
0.9965	1.011	1.001	1.014	1.077	1.171	1.317	1.481	1.739	1.958	2.268	2.556	2.654	3.15	3.34	3.669	4.018	4.256	4.531	5.009	5.72	6.544	7.273	7.8	8.153	8.45	8.734	9.2	9.51	9.857	10.03	10.17	10.28	10.24	10.23	10.15	10.26	10.38	10.4	10.35	10.28	10.26	10.1	9.965	9.818	9.477	9.068	8.635	8.344	8.279	8.178	8.186	8.136	7.886	7.713	7.546	7.236	6.87	6.76	6.659	6.498	6.254	5.973	5.743	5.4	5.131	5.037	4.903	4.795	4.456	4.353	4.206	4.086	4.021	3.924	3.864	3.698	3.573	3.41	3.226	2.95	2.709	2.551	2.373	2.252	2.134	1.991	1.864	1.799	1.764	1.726	1.623	1.566	1.559	1.528	1.511	1.47	1.41	1.379	1.298	0.6231	0.6326	0.6612	0.6728	0.6866	0.7151	0.749	0.8283	0.986	1.129	1.301	1.436	1.551	1.798	1.908	2.162	2.289	2.331	2.408	2.693	3.05	3.418	3.672	3.935	4.174	4.301	4.397	4.551	4.642	4.765	4.838	4.885	4.969	5.043	5.049	5.149	5.282	5.311	5.37	5.368	5.402	5.415	5.317	5.247	5.412	5.427	5.423	5.409	5.346	5.312	5.229	5.166	5.294	5.364	5.343	5.197	5.035	4.858	4.733	4.698	4.655	4.651	4.639	4.622	4.567	4.501	4.45	4.307	4.189	4.078	3.988	3.899	3.731	3.704	3.665	3.56	3.397	3.428	3.374	3.267	3.096	2.954	2.808	2.646	2.535	2.515	2.361	2.266	2.194	2.114	2.031	1.908	1.835	1.844	1.759	1.703	1.723	1.717	1.707	1.62
1.612	1.676	1.793	1.951	2.147	2.316	2.532	2.639	2.844	3.18	3.388	3.414	3.624	3.858	4.024	4.228	4.539	4.848	5.271	5.835	6.447	6.963	8.215	9.166	9.764	9.795	9.934	10.48	11.06	11.28	11.7	12.12	12.5	13.08	13.45	13.59	13.67	13.59	13.68	13.73	13.53	13.52	13.63	13.64	13.45	13.65	13.65	13.5	13.12	12.99	12.72	12.54	12.17	11.97	11.9	11.6	11.05	11.12	11	10.69	10.41	10.23	9.731	9.51	9.181	8.764	8.653	8.4	8.061	8.051	7.948	7.846	7.713	7.549	7.39	7.292	7.222	7.25	7.306	7.11	6.916	6.909	7.071	7.256	7.42	7.295	7.224	7.09	6.856	6.86	6.926	6.829	6.936	6.813	6.885	6.85	6.649	6.27	6.14	6.002	0.9976	1.024	1.047	1.059	1.102	1.168	1.248	1.341	1.518	1.758	1.968	2.118	2.324	2.478	2.668	2.784	3.04	3.19	3.405	3.806	4.297	4.734	5.487	5.864	6.316	6.573	6.831	7.187	7.602	7.752	8.087	8.345	8.599	8.774	9.094	9.299	9.501	9.59	9.749	9.833	9.803	9.9	10.08	10.31	10.16	10.34	10.41	10.57	10.5	10.44	10.3	10.11	9.895	9.661	9.63	9.526	9.266	9.225	9.169	8.906	8.601	8.562	8.368	8.21	7.914	7.527	7.551	7.389	7.222	7.248	7.223	7.177	7.111	7.057	7.027	7.105	7.205	7.34	7.46	7.507	7.4	7.425	7.446	7.765	7.981	7.907	7.878	7.831	7.807	7.848	7.934	7.848	7.821	7.826	7.763	7.725	7.66	7.492	7.315	7.206
