#genes:823
#downstream:500	upstream:500	body:0	bin size:10	unscaled 5 prime:0	unscaled 3 prime:0
121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_WT_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE	121118_dbp2_merged_FE
0.04215	0.04048	0.04018	0.03962	0.0374	0.03625	0.03258	0.03083	0.03135	0.0315	0.03251	0.02698	0.02521	0.02389	0.02367	0.02367	0.0252	0.02698	0.02479	0.02629	0.02984	0.03251	0.02959	0.02679	0.02782	0.02834	0.03004	0.03314	0.03469	0.03512	0.03501	0.0356	0.03857	0.04409	0.04864	0.05327	0.06036	0.06862	0.07027	0.06853	0.06828	0.07056	0.07085	0.07469	0.07197	0.07208	0.07353	0.07404	0.07766	0.08324	0.08878	0.09133	0.09659	0.1026	0.1049	0.1086	0.1126	0.1151	0.1126	0.1144	0.1156	0.1138	0.1137	0.106	0.104	0.1009	0.09921	0.09331	0.08638	0.08219	0.08154	0.07898	0.07658	0.07427	0.07537	0.07744	0.07722	0.07324	0.06733	0.06233	0.05549	0.04971	0.04875	0.04576	0.03735	0.03696	0.03403	0.03059	0.02942	0.0274	0.03002	0.02919	0.02846	0.02839	0.02856	0.03252	0.03445	0.03793	0.03791	0.03889	0.007259	0.007157	0.006942	0.006825	0.006828	0.006856	0.00623	0.005721	0.005064	0.004688	0.004409	0.004268	0.003948	0.00365	0.003462	0.003472	0.003506	0.003529	0.003308	0.002554	0.003077	0.003606	0.00334	0.003159	0.002703	0.002616	0.00266	0.002717	0.003308	0.003755	0.004287	0.00428	0.004842	0.005392	0.005591	0.006411	0.007377	0.008738	0.009233	0.0104	0.01121	0.01167	0.01317	0.01385	0.01447	0.01545	0.01586	0.01669	0.0189	0.01972	0.01997	0.02068	0.02165	0.0223	0.02259	0.0225	0.02247	0.02379	0.02519	0.02603	0.02457	0.02425	0.023	0.02235	0.02136	0.02048	0.02019	0.01894	0.01818	0.0168	0.01562	0.01493	0.01494	0.01462	0.01456	0.01348	0.01242	0.01215	0.01204	0.01193	0.01058	0.01017	0.009301	0.008221	0.007257	0.00603	0.005511	0.006003	0.005416	0.004908	0.004735	0.004356	0.004168	0.003403	0.003237	0.003392	0.0035	0.003336	0.004028	0.004398
1.032	1.016	1.006	0.9988	1.015	1.066	1.057	1.073	1.085	1.129	1.086	1.088	1.071	1.083	1.106	1.117	1.131	1.107	1.113	1.108	1.125	1.109	1.097	1.037	1.026	0.9928	1.007	1.002	1.001	1.01	0.9806	0.9818	0.9976	1.017	1.024	1.01	0.9976	0.9235	0.8834	0.9016	0.8518	0.8129	0.7825	0.7825	0.7898	0.7485	0.7388	0.7023	0.6817	0.6282	0.6051	0.5869	0.5565	0.5286	0.5456	0.6088	0.6695	0.7133	0.7522	0.7206	0.6902	0.6829	0.7048	0.7084	0.7048	0.7169	0.7036	0.672	0.6574	0.6695	0.6282	0.6161	0.6136	0.5845	0.5189	0.514	0.4861	0.469	0.4545	0.4289	0.435	0.4151	0.3985	0.3807	0.3749	0.3824	0.3677	0.3746	0.4034	0.4022	0.3937	0.3949	0.3986	0.3881	0.3846	0.3753	0.3667	0.3729	0.375	0.3683	0.8326	0.8283	0.8527	0.8252	0.7977	0.8199	0.7998	0.8008	0.8728	0.8759	0.9109	0.9172	0.9436	0.9722	1.006	1.057	1.083	1.119	1.117	1.119	1.115	1.129	1.125	1.121	1.114	1.091	1.057	1.043	1.058	1.071	1.114	1.091	1.116	1.11	1.102	1.083	1.073	1.013	1.003	1.005	0.9436	0.9511	0.9415	0.9246	0.8886	0.8929	0.858	0.8199	0.7966	0.7818	0.7479	0.7194	0.6464	0.5956	0.5776	0.6019	0.6347	0.6612	0.6908	0.6961	0.695	0.7194	0.7448	0.7606	0.7903	0.767	0.7522	0.7522	0.7321	0.7236	0.712	0.712	0.6845	0.6665	0.6284	0.5681	0.5395	0.5258	0.5173	0.5184	0.5279	0.5067	0.4898	0.4951	0.4729	0.4369	0.4126	0.4073	0.3967	0.3671	0.3121	0.3142	0.3195	0.3237	0.3301	0.3555	0.3703	0.3745	0.3777	0.3544
0.644	0.6525	0.6938	0.6987	0.7315	0.7364	0.7825	0.7566	0.7453	0.7531	0.7488	0.7239	0.7404	0.7434	0.7772	0.7847	0.8403	0.958	1.1	1.181	1.239	1.345	1.424	1.457	1.52	1.563	1.581	1.594	1.632	1.678	1.734	1.772	1.783	1.773	1.768	1.747	1.747	1.785	1.823	1.842	1.811	1.79	1.727	1.676	1.631	1.626	1.537	1.501	1.497	1.465	1.414	1.411	1.411	1.427	1.439	1.397	1.354	1.386	1.366	1.357	1.362	1.348	1.334	1.284	1.265	1.29	1.286	1.26	1.239	1.194	1.18	1.194	1.204	1.18	1.171	1.154	1.187	1.16	1.158	1.103	1.068	1.039	1.068	1.054	1.049	1.024	1.002	0.9989	1.006	0.9843	0.9867	0.9539	0.8956	0.9308	0.9369	0.966	0.9332	0.915	0.8931	0.915	0.5766	0.5935	0.6347	0.6485	0.6294	0.6474	0.6887	0.7437	0.7617	0.7585	0.7712	0.8072	0.8982	0.9151	0.9447	1.002	1.046	1.12	1.206	1.242	1.308	1.38	1.457	1.546	1.587	1.632	1.661	1.66	1.676	1.72	1.747	1.759	1.775	1.801	1.823	1.804	1.813	1.858	1.852	1.77	1.759	1.709	1.606	1.604	1.551	1.522	1.463	1.353	1.333	1.322	1.31	1.271	1.258	1.275	1.331	1.293	1.273	1.26	1.243	1.177	1.136	1.147	1.148	1.162	1.14	1.14	1.162	1.174	1.14	1.1	1.104	1.097	1.059	1.024	1.006	0.9458	0.9098	0.8971	0.8622	0.8104	0.7924	0.7839	0.7881	0.7723	0.7627	0.7342	0.7268	0.7024	0.6633	0.6707	0.6866	0.7046	0.6707	0.6972	0.6929	0.6855	0.6792	0.6718	0.657	0.6739
0.4079	0.394	0.404	0.418	0.4253	0.4289	0.4289	0.4484	0.4727	0.5164	0.5735	0.6285	0.6713	0.6877	0.6921	0.7145	0.7415	0.7583	0.814	0.8524	0.9207	0.9878	1.014	1.033	1.064	1.105	1.198	1.234	1.266	1.299	1.332	1.383	1.42	1.369	1.406	1.438	1.47	1.502	1.48	1.468	1.424	1.414	1.431	1.462	1.472	1.457	1.434	1.388	1.361	1.301	1.288	1.263	1.26	1.207	1.125	1.105	1.17	1.239	1.252	1.311	1.337	1.318	1.359	1.38	1.365	1.352	1.385	1.413	1.447	1.459	1.491	1.514	1.532	1.553	1.57	1.525	1.525	1.502	1.493	1.565	1.612	1.627	1.582	1.549	1.576	1.557	1.547	1.538	1.474	1.485	1.476	1.441	1.455	1.433	1.41	1.43	1.457	1.425	1.436	1.39	0.53	0.5649	0.5935	0.5829	0.6009	0.6284	0.6474	0.6749	0.694	0.7035	0.7564	0.7659	0.7585	0.8019	0.8495	0.8855	0.9077	0.9521	1.039	1.076	1.089	1.112	1.115	1.202	1.271	1.309	1.34	1.387	1.457	1.472	1.559	1.644	1.693	1.667	1.667	1.64	1.627	1.675	1.686	1.699	1.702	1.701	1.684	1.665	1.655	1.647	1.652	1.636	1.581	1.506	1.473	1.386	1.376	1.391	1.414	1.415	1.413	1.399	1.366	1.344	1.329	1.321	1.336	1.289	1.245	1.236	1.221	1.227	1.221	1.238	1.284	1.275	1.245	1.265	1.284	1.281	1.32	1.367	1.327	1.396	1.415	1.407	1.409	1.414	1.428	1.429	1.429	1.435	1.465	1.47	1.467	1.477	1.463	1.447	1.446	1.501	1.493	1.48	1.478	1.449
0.5906	0.5833	0.5638	0.5395	0.5663	0.5881	0.6112	0.6112	0.5979	0.5893	0.5881	0.593	0.6258	0.6112	0.6039	0.6003	0.6209	0.6392	0.6244	0.6092	0.5841	0.6167	0.6468	0.6553	0.6873	0.7225	0.7748	0.7893	0.8248	0.8219	0.8177	0.8045	0.7991	0.7681	0.7821	0.7865	0.7836	0.8218	0.8451	0.9062	1.002	1.033	1.052	1.117	1.198	1.169	1.153	1.142	1.14	1.156	1.173	1.219	1.256	1.249	1.216	1.193	1.186	1.154	1.128	1.106	1.108	1.124	1.074	1.08	1.05	1.055	1.044	1.039	1.022	0.9551	0.9199	0.8615	0.8081	0.819	0.7971	0.7959	0.785	0.7996	0.7784	0.7712	0.7169	0.7036	0.6926	0.6888	0.6647	0.6525	0.6501	0.6647	0.6574	0.6525	0.6294	0.6027	0.5954	0.5784	0.5821	0.5468	0.5371	0.5189	0.5334	0.559	0.5374	0.5289	0.5184	0.5237	0.5342	0.5575	0.5575	0.5787	0.5787	0.5692	0.567	0.5565	0.6083	0.6104	0.6326	0.6538	0.6633	0.6781	0.7278	0.7596	0.786	0.7839	0.8241	0.8273	0.859	0.8992	0.8992	0.9278	0.9415	0.9881	1.086	1.131	1.143	1.17	1.185	1.217	1.276	1.308	1.329	1.363	1.405	1.439	1.475	1.572	1.591	1.549	1.545	1.516	1.512	1.473	1.496	1.492	1.494	1.506	1.501	1.491	1.483	1.447	1.401	1.352	1.305	1.261	1.246	1.241	1.235	1.183	1.121	1.117	1.057	0.9659	0.9214	0.8707	0.8675	0.8315	0.8146	0.7955	0.7913	0.7807	0.7553	0.7374	0.7141	0.6654	0.6644	0.6527	0.6305	0.5977	0.5755	0.567	0.5427	0.5321	0.5057	0.5152	0.511	0.5099	0.5194	0.5184	0.5321	0.5311	0.5416	0.5448
1.354	1.354	1.377	1.413	1.401	1.416	1.429	1.402	1.412	1.393	1.397	1.362	1.378	1.403	1.39	1.39	1.397	1.438	1.48	1.523	1.534	1.537	1.523	1.535	1.568	1.577	1.577	1.554	1.513	1.553	1.62	1.682	1.676	1.698	1.726	1.774	1.807	1.784	1.732	1.681	1.66	1.681	1.732	1.751	1.718	1.653	1.578	1.491	1.414	1.327	1.283	1.23	1.198	1.235	1.208	1.209	1.244	1.185	1.179	1.163	1.209	1.276	1.342	1.354	1.363	1.44	1.459	1.467	1.45	1.501	1.516	1.526	1.514	1.41	1.41	1.393	1.405	1.348	1.318	1.281	1.216	1.174	1.16	1.113	1.113	1.094	1.047	1.018	1.01	0.9539	0.87	0.8312	0.8141	0.7935	0.7959	0.7996	0.7595	0.7534	0.768	0.7546	1.312	1.335	1.348	1.359	1.373	1.391	1.429	1.466	1.519	1.502	1.528	1.494	1.481	1.463	1.438	1.401	1.417	1.429	1.406	1.436	1.527	1.524	1.523	1.487	1.565	1.63	1.669	1.615	1.618	1.657	1.75	1.828	1.896	1.958	1.997	1.998	2.013	1.993	1.961	1.914	1.899	1.922	1.871	1.897	1.859	1.801	1.733	1.665	1.6	1.514	1.448	1.421	1.376	1.42	1.365	1.421	1.421	1.377	1.388	1.412	1.438	1.412	1.467	1.516	1.541	1.588	1.604	1.589	1.593	1.619	1.646	1.67	1.711	1.748	1.734	1.689	1.669	1.673	1.67	1.644	1.589	1.532	1.554	1.521	1.44	1.412	1.38	1.316	1.268	1.223	1.188	1.133	1.08	1.035	1.012	0.9828	0.9743	0.9331	0.9246	0.913
0.4999	0.4647	0.4216	0.4113	0.3923	0.3469	0.3151	0.3204	0.3301	0.325	0.3126	0.2973	0.2948	0.3095	0.3284	0.3192	0.3377	0.3772	0.4058	0.4275	0.4592	0.4925	0.4978	0.5179	0.5261	0.5252	0.5394	0.5471	0.547	0.5767	0.6152	0.6507	0.6524	0.7112	0.7983	0.857	0.955	1.012	1.015	1.05	1.106	1.073	1.101	1.136	1.219	1.329	1.461	1.587	1.724	1.828	1.941	2.09	2.137	2.161	2.189	2.294	2.35	2.418	2.395	2.411	2.363	2.349	2.387	2.342	2.277	2.215	2.188	2.241	2.238	2.188	2.265	2.295	2.355	2.359	2.323	2.342	2.376	2.342	2.388	2.461	2.455	2.417	2.36	2.386	2.423	2.447	2.405	2.355	2.399	2.441	2.361	2.397	2.361	2.298	2.222	2.263	2.122	2.114	2.147	2.137	0.3433	0.3426	0.3347	0.3284	0.331	0.3285	0.3257	0.3274	0.3571	0.3646	0.3489	0.3526	0.3798	0.4032	0.3983	0.4024	0.4334	0.4696	0.5228	0.5926	0.6463	0.6873	0.6791	0.6865	0.7338	0.7995	0.845	0.8969	0.9309	0.9529	0.9866	1.088	1.172	1.275	1.422	1.481	1.527	1.594	1.684	1.821	1.849	1.898	2	2.043	2.192	2.306	2.435	2.604	2.796	2.837	2.857	2.864	2.932	2.959	2.95	2.957	2.899	2.888	2.831	2.851	2.804	2.777	2.714	2.538	2.462	2.294	2.216	2.162	2.121	2.038	2.069	2.057	2.029	2.09	2.039	2.09	2.03	2.121	2.232	2.287	2.303	2.304	2.248	2.289	2.308	2.336	2.291	2.297	2.335	2.387	2.347	2.425	2.441	2.407	2.408	2.367	2.261	2.27	2.303	2.341
1.654	1.657	1.678	1.727	1.751	1.707	1.717	1.706	1.716	1.741	1.774	1.774	1.719	1.654	1.536	1.508	1.497	1.509	1.549	1.462	1.422	1.473	1.474	1.491	1.479	1.536	1.568	1.604	1.654	1.723	1.744	1.8	1.821	1.831	1.847	1.841	1.853	1.891	1.868	1.891	1.875	1.859	1.864	1.862	1.891	1.88	1.851	1.842	1.857	1.865	1.817	1.757	1.719	1.736	1.729	1.799	1.854	1.871	1.854	1.781	1.785	1.824	1.908	1.926	1.958	1.932	1.869	1.821	1.807	1.791	1.837	1.83	1.779	1.761	1.688	1.676	1.727	1.744	1.708	1.574	1.517	1.521	1.49	1.436	1.376	1.356	1.36	1.383	1.376	1.372	1.343	1.315	1.221	1.153	1.092	1.024	0.9867	0.9272	0.8652	0.7984	1.424	1.4	1.405	1.437	1.402	1.413	1.41	1.425	1.424	1.451	1.469	1.477	1.435	1.473	1.44	1.456	1.456	1.511	1.52	1.534	1.503	1.504	1.519	1.568	1.637	1.665	1.728	1.749	1.789	1.932	1.987	1.937	1.936	1.975	2.045	2.054	2.106	2.126	2.093	2.089	2.091	2.07	2.078	2.049	2.03	2.004	2.047	2.046	2.033	2.033	2.119	2.062	2.016	1.955	1.97	1.974	1.975	2.056	2.036	1.96	1.897	1.899	1.914	1.853	1.788	1.774	1.766	1.825	1.845	1.832	1.813	1.75	1.659	1.639	1.556	1.524	1.494	1.45	1.41	1.252	1.232	1.214	1.186	1.16	1.143	1.144	1.149	1.137	1.072	1.055	1.037	1.02	0.9585	0.9573	0.9828	0.9583	0.9302	0.8911	0.8757	0.8684
1.171	1.221	1.222	1.251	1.329	1.383	1.475	1.535	1.569	1.564	1.567	1.579	1.544	1.532	1.516	1.432	1.345	1.293	1.297	1.314	1.273	1.268	1.327	1.363	1.38	1.424	1.363	1.312	1.287	1.219	1.201	1.186	1.225	1.212	1.249	1.279	1.301	1.323	1.303	1.354	1.372	1.371	1.369	1.392	1.432	1.48	1.504	1.482	1.506	1.478	1.439	1.397	1.352	1.339	1.322	1.314	1.348	1.323	1.336	1.333	1.299	1.278	1.242	1.274	1.256	1.234	1.191	1.101	1.05	1.094	1.083	1.078	1.124	1.179	1.23	1.242	1.222	1.209	1.207	1.189	1.174	1.15	1.113	1.053	1.046	1.065	1.022	1.009	0.9741	0.9272	0.9	0.9334	0.9541	0.913	0.9093	0.8963	0.8225	0.7878	0.807	0.824	1.239	1.3	1.338	1.387	1.381	1.378	1.424	1.534	1.566	1.583	1.609	1.665	1.686	1.668	1.642	1.65	1.654	1.623	1.648	1.668	1.683	1.66	1.698	1.725	1.724	1.738	1.701	1.7	1.684	1.626	1.539	1.498	1.475	1.407	1.394	1.427	1.394	1.34	1.36	1.359	1.285	1.236	1.201	1.165	1.138	1.179	1.187	1.156	1.184	1.17	1.205	1.272	1.281	1.291	1.3	1.317	1.323	1.302	1.307	1.265	1.267	1.38	1.406	1.443	1.451	1.439	1.492	1.515	1.523	1.521	1.55	1.545	1.557	1.561	1.575	1.582	1.596	1.627	1.581	1.551	1.52	1.422	1.365	1.311	1.292	1.269	1.244	1.237	1.219	1.19	1.154	1.152	1.143	1.165	1.159	1.129	1.081	1.022	0.932	0.9447
1.417	1.366	1.331	1.307	1.332	1.348	1.348	1.362	1.377	1.396	1.452	1.357	1.362	1.428	1.508	1.597	1.619	1.57	1.583	1.603	1.611	1.645	1.651	1.651	1.631	1.698	1.812	1.851	1.811	1.839	1.88	1.894	1.853	1.83	1.79	1.781	1.798	1.825	1.815	1.826	1.819	1.798	1.794	1.747	1.722	1.724	1.711	1.752	1.665	1.607	1.61	1.568	1.561	1.557	1.609	1.615	1.609	1.621	1.648	1.67	1.661	1.662	1.612	1.585	1.559	1.557	1.514	1.487	1.461	1.376	1.306	1.263	1.145	1.062	1.05	1.05	1.007	0.932	0.8858	0.8542	0.7862	0.6951	0.6791	0.6382	0.6176	0.6185	0.5578	0.5588	0.571	0.5785	0.5605	0.5623	0.5796	0.5541	0.5091	0.4763	0.4618	0.4314	0.4253	0.4253	1.456	1.506	1.615	1.649	1.707	1.719	1.767	1.759	1.752	1.755	1.814	1.805	1.847	1.83	1.839	1.828	1.797	1.812	1.842	1.907	1.996	2.09	2.114	2.152	2.167	2.228	2.274	2.324	2.257	2.214	2.194	2.191	2.208	2.244	2.235	2.2	2.236	2.255	2.265	2.277	2.25	2.196	2.103	2.038	1.955	1.932	1.91	1.87	1.889	1.91	1.882	1.951	1.986	1.985	2.021	2.046	2.05	2.016	1.981	1.93	1.905	1.889	1.825	1.787	1.74	1.688	1.639	1.6	1.563	1.484	1.408	1.362	1.362	1.318	1.312	1.25	1.219	1.192	1.162	1.029	0.9436	0.8675	0.7998	0.7596	0.7173	0.6622	0.6041	0.5406	0.5215	0.5067	0.5237	0.5194	0.4739	0.4401	0.439	0.4062	0.3914	0.365	0.3438	0.3364
