Dbp2.1	Dbp2.2	Dbp2.3
YAL061W	7	26	15
YAL056W	11	39	8
YAL053W	181	341	275
YAL051W	46	49	48
YAL049C	11	25	20
YAL043C	8	7	49
YAL042W	30	8	27
YAL041W	11	128	43
YAL040C	150	123	250
YAL038W	4694	3803	5992
YAL036C	43	49	38
YAL035W	331	192	242
YAL031C	12	10	13
YAL029C	62	209	75
YAL026C	15	26	51
YAL025C	8	9	11
YAL023C	60	198	109
YAL021C	11	82	8
YAL017W	90	114	153
YAL016W	86	20	64
YAL012W	188	123	256
YAL007C	44	79	29
YAL005C	2429	1508	1645
YAL003W	1147	1324	1333
YAL001C	14	41	30
YAR002C-A	20	12	9
YAR014C	76	130	21
YAR015W	273	383	282
YAR019C	44	68	60
YAR023C	33	75	11
YAR027W	22	126	19
YAR042W	30	92	10
YBL105C	21	131	78
YBL103C	52	110	55
YBL102W	27	28	13
YBL101C	48	43	64
YBL099W	205	98	243
YBL092W	644	293	537
YBL091C	41	154	7
YBL087C	381	358	391
YBL085W	28	19	13
YBL081W	18	7	69
YBL079W	11	41	8
YBL078C	17	14	9
YBL076C	670	822	527
YBL072C	446	510	404
YBL067C	16	18	23
YBL064C	11	35	9
YBL058W	62	76	95
YBL057C	21	13	62
YBL056W	107	319	101
YBL055C	27	32	56
YBL054W	15	18	12
YBL051C	107	100	81
YBL050W	39	96	47
YBL047C	160	168	165
YBL046W	21	41	39
YBL045C	8	93	48
YBL041W	89	101	25
YBL040C	39	14	85
YBL039C	48	79	40
YBL032W	29	44	18
YBL030C	159	133	112
YBL027W	560	480	741
YBL026W	67	28	44
YBL024W	95	111	136
YBL022C	110	65	181
YBL018C	19	6	17
YBL017C	224	196	116
YBL015W	12	28	14
YBL007C	160	160	159
YBL005W	57	91	134
YBL004W	341	248	349
YBL003C	180	120	81
YBL002W	283	57	250
YBL001C	32	8	36
YBR002C	17	81	22
YBR003W	33	33	11
YBR004C	44	67	57
YBR005W	102	17	116
YBR008C	14	7	7
YBR009C	131	31	116
YBR010W	266	58	197
YBR011C	431	289	369
YBR015C	18	21	34
YBR016W	110	221	115
YBR017C	13	22	17
YBR023C	8	65	12
YBR025C	240	125	117
YBR031W	574	786	812
YBR034C	61	98	62
YBR036C	98	86	149
YBR037C	9	25	16
YBR039W	74	15	83
YBR041W	62	15	58
YBR048W	410	597	604
YBR049C	7	75	9
YBR052C	24	33	30
YBR056W	11	56	66
YBR059C	44	311	76
YBR062C	21	63	28
YBR067C	108	22	87
YBR068C	439	305	547
YBR069C	46	64	46
YBR074W	19	27	15
YBR076C-A	11	33	39
YBR077C	11	19	41
YBR078W	1591	1142	1904
YBR079C	179	242	221
YBR080C	48	71	52
YBR082C	220	221	243
YBR084W	25	32	41
YBR084C-A	395	265	474
YBR085C-A	96	256	88
YBR086C	156	216	213
YBR095C	38	6	12
YBR101C	176	214	128
YBR106W	179	316	124
YBR109C	31	31	70
YBR111W-A	40	9	10
YBR112C	53	132	68
YBR115C	29	10	45
YBR118W	6320	3870	5746
YBR121C	147	207	201
YBR122C	25	94	33
YBR126C	179	75	114
YBR127C	466	345	361
YBR129C	8	55	15
YBR136W	6	9	13
YBR139W	25	8	18
YBR140C	94	344	173
YBR143C	80	34	67
YBR149W	48	11	54
YBR154C	23	31	25
YBR158W	42	8	52
YBR159W	32	56	19
YBR161W	23	58	39
YBR162C	663	701	632
YBR162W-A	47	17	23
YBR170C	37	38	16
YBR172C	16	10	24
YBR177C	45	12	55
YBR181C	675	431	602
YBR187W	40	23	24
YBR189W	572	365	536
YBR191W	290	170	333
YBR196C	1238	525	979
YBR199W	57	94	58
YBR200W	7	41	47
YBR202W	35	33	58
YBR207W	66	111	90
YBR208C	14	7	63
YBR210W	21	53	19
YBR212W	142	43	177
YBR214W	62	56	105
YBR218C	44	30	42
YBR221C	175	167	117
YBR222C	50	30	47
YBR229C	75	14	38
YBR230C	69	27	149
YBR231C	413	893	461
YBR234C	102	12	187
YBR238C	43	10	57
YBR244W	31	19	71
YBR247C	42	34	15
YBR249C	159	152	152
YBR252W	10	18	10
YBR255C-A	58	67	96
YBR263W	54	74	79
YBR265W	8	15	43
YBR267W	7	57	12
YBR279W	23	7	46
YBR283C	137	71	147
YBR286W	328	311	326
YBR287W	97	100	181
YBR288C	41	15	12
YBR296C	89	80	183
YBR297W	9	34	29
YCL064C	86	160	45
YCL057W	37	240	57
YCL054W	21	7	10
YCL050C	69	68	39
YCL045C	130	39	213
YCL043C	361	137	304
YCL040W	100	24	56
YCL037C	31	68	54
YCL031C	43	34	92
YCL030C	199	437	147
YCL028W	15	17	7
YCL024W	6	21	29
YCL021W-A	23	30	21
YCL011C	114	40	139
YCL010C	51	9	41
YCL009C	155	146	86
YCL005W-A	65	15	122
YCL002C	21	11	34
YCR002C	88	65	34
YCR004C	56	47	78
YCR005C	176	155	186
YCR008W	140	77	209
YCR009C	107	13	111
YCR011C	166	165	180
YCR012W	3342	1795	2719
YCR017C	61	208	48
YCR018C	21	28	25
YCR025C	52	35	50
YCR028C	18	11	32
YCR028C-A	6	6	13
YCR031C	476	390	776
YCR033W	42	84	102
YCR034W	12	10	32
YCR036W	6	43	11
YCR042C	22	11	8
YCR052W	6	117	11
YCR053W	334	454	252
YCR063W	8	60	9
YCR065W	24	24	114
YCR067C	68	114	145
YCR069W	30	57	14
YCR077C	20	112	22
YCR084C	84	177	131
YCR088W	165	107	131
YCR093W	205	108	193
YCR097W	49	48	43
YDL248W	11	30	10
YDL237W	25	11	30
YDL233W	20	54	19
YDL231C	43	30	28
YDL229W	1868	2084	1948
YDL217C	21	10	50
YDL215C	48	119	70
YDL212W	30	70	21
YDL208W	33	59	41
YDL205C	23	32	40
YDL201W	12	10	10
YDL198C	33	7	31
YDL195W	166	314	275
YDL192W	244	431	136
YDL191W	417	276	575
YDL190C	72	62	133
YDL189W	19	134	116
YDL188C	12	15	56
YDL185W	745	663	817
YDL184C	443	239	333
YDL182W	8	50	25
YDL178W	46	56	75
YDL174C	19	56	6
YDL173W	47	111	27
YDL171C	262	365	232
YDL160C	233	126	250
YDL155W	7	22	9
YDL147W	116	57	164
YDL146W	11	52	8
YDL145C	102	188	195
YDL143W	75	58	36
YDL140C	460	452	689
YDL137W	190	95	179
YDL136W	262	133	193
YDL135C	15	57	26
YDL134C	100	104	70
YDL133C-A	564	180	593
YDL132W	88	96	64
YDL131W	71	54	50
YDL130W	373	650	492
YDL128W	18	6	7
YDL126C	486	864	470
YDL125C	182	46	221
YDL124W	84	101	88
YDL123W	28	104	71
YDL110C	60	40	27
YDL100C	175	87	62
YDL097C	51	87	111
YDL095W	51	111	115
YDL092W	10	31	38
YDL086W	17	8	6
YDL084W	197	63	243
YDL083C	373	419	609
YDL082W	367	202	533
YDL081C	364	212	332
YDL076C	16	24	12
YDL075W	522	417	744
YDL074C	85	52	166
YDL073W	18	8	27
YDL072C	141	16	101
YDL070W	268	393	422
YDL066W	51	142	72
YDL064W	29	17	15
YDL063C	10	89	26
YDL061C	313	388	370
YDL058W	81	64	111
YDL057W	9	36	22
YDL056W	41	53	55
YDL055C	613	370	589
YDL052C	39	135	73
YDL051W	106	17	39
YDL048C	19	17	7
YDL047W	25	48	59
YDL046W	89	23	145
YDL039C	100	95	114
YDL037C	118	91	195
YDL035C	51	48	97
YDL031W	102	59	42
YDL029W	65	61	171
YDL025C	8	7	60
YDL022W	385	364	612
YDL020C	66	304	102
YDL019C	51	32	20
YDL015C	54	30	72
YDL014W	105	75	209
YDL010W	30	99	31
YDL007W	81	25	37
YDL005C	15	64	28
YDL004W	29	75	27
YDR001C	64	82	55
YDR002W	207	78	120
YDR006C	53	80	48
YDR011W	132	181	154
YDR012W	501	324	585
YDR019C	73	89	99
YDR022C	8	41	12
YDR023W	172	131	192
YDR025W	452	341	456
YDR027C	21	8	16
YDR028C	83	12	53
YDR032C	28	33	75
YDR033W	602	453	534
YDR034C	23	36	26
YDR037W	260	840	310
YDR039C	29	8	28
YDR041W	19	18	29
YDR044W	49	17	33
YDR046C	34	93	40
YDR047W	30	15	66
YDR050C	1346	980	1106
YDR052C	50	17	54
YDR054C	71	42	52
YDR055W	53	34	68
YDR060W	29	93	47
YDR062W	124	126	145
YDR064W	784	625	892
YDR069C	16	23	34
YDR071C	91	47	59
YDR072C	215	224	358
YDR073W	43	212	69
YDR074W	617	318	534
YDR077W	1511	1327	2280
YDR086C	85	25	49
YDR089W	6	64	28
YDR090C	8	12	8
YDR091C	31	199	143
YDR092W	23	195	42
YDR093W	23	162	68
YDR096W	40	47	89
YDR097C	14	99	10
YDR098C	25	55	9
YDR099W	383	600	404
