chr	site	strand	count
chrI	100109	-	7
chrI	100473	-	2
chrI	101281	+	1
chrI	105428	+	1
chrI	106303	-	3
chrI	106305	-	1
chrI	106306	-	68
chrI	106308	-	1
chrI	106538	-	1
chrI	106603	-	1
chrI	106671	-	4
chrI	106890	-	1
chrI	106891	-	6
chrI	106955	+	1
chrI	107337	-	1
chrI	107339	-	29
chrI	107499	-	49
chrI	108502	-	33
chrI	112126	-	1
chrI	112131	-	2
chrI	112132	-	40
chrI	112133	-	3
chrI	112191	-	1
chrI	112202	-	1
chrI	112203	-	31
chrI	113049	+	1
chrI	113091	-	1
chrI	113096	-	2
chrI	115213	+	1
chrI	115214	+	1
chrI	117858	+	1
chrI	119944	+	5
chrI	120163	+	1
chrI	120170	+	55
chrI	120189	+	1
chrI	120339	+	6
chrI	120558	+	14
chrI	121752	+	32
chrI	124781	+	1
chrI	124849	+	2
chrI	124883	+	1
chrI	125900	+	2
chrI	125948	+	2
chrI	126639	+	12
chrI	126686	+	1
chrI	127204	+	8
chrI	127208	+	1
chrI	128585	-	1
chrI	128817	-	1
chrI	129021	-	2
chrI	129470	+	11
chrI	130756	+	1
chrI	130817	+	5
chrI	130838	+	9
chrI	130839	+	1
chrI	130915	+	4
chrI	131034	+	4
chrI	131180	+	2
chrI	131283	+	42
chrI	131368	+	3
chrI	131486	+	1
chrI	131582	+	19
chrI	131686	+	24
chrI	131687	+	1
chrI	131688	+	1
chrI	131722	+	4
chrI	131804	+	2
chrI	132190	+	69
chrI	133229	-	1
chrI	135641	-	1
chrI	136007	+	1
chrI	136148	+	3
chrI	136239	+	2
chrI	137598	-	2
chrI	137794	-	3
chrI	138043	-	15
chrI	138381	-	1
chrI	138398	-	1
chrI	138399	-	1
chrI	138400	-	56
chrI	139139	+	8
chrI	139140	+	23
chrI	139141	+	1
chrI	139150	+	42
chrI	139151	+	145
chrI	139152	+	3
chrI	139153	+	1
chrI	139157	+	1
chrI	139158	+	19
chrI	139159	+	1
chrI	139160	+	70
chrI	139161	+	6
chrI	139163	+	21
chrI	139166	+	76
chrI	139167	+	1
chrI	139168	+	30
chrI	139169	+	5
chrI	139170	+	1
chrI	139171	+	22
chrI	139172	+	1
chrI	139173	+	2
chrI	139177	+	1
chrI	139181	+	7
chrI	139182	+	13
chrI	139183	+	18
chrI	139186	+	1
chrI	139192	+	59
chrI	139193	+	1
chrI	139194	+	1
chrI	139197	+	4
chrI	139198	+	4
