chr	site	strand	count
chrI	100003	+	1
chrI	100105	-	2
chrI	100443	-	9
chrI	106302	-	1
chrI	106303	-	20
chrI	106328	-	2
chrI	106586	-	4
chrI	106604	-	2
chrI	106883	-	1
chrI	107306	-	2
chrI	107307	-	6
chrI	107322	-	1
chrI	107354	-	1
chrI	107376	-	3
chrI	107463	-	1
chrI	107464	-	7
chrI	107475	-	2
chrI	107484	-	1
chrI	107493	-	6
chrI	107517	-	9
chrI	107528	-	5
chrI	108477	-	1
chrI	108502	-	2
chrI	108580	-	12
chrI	108587	-	20
chrI	112077	-	1
chrI	112253	-	4
chrI	113050	+	2
chrI	113051	+	2
chrI	113058	+	1
chrI	113109	-	3
chrI	114926	+	5
chrI	115177	+	14
chrI	115179	+	1
chrI	115212	+	5
chrI	115214	+	1
chrI	115603	+	1
chrI	115889	+	1
chrI	115894	+	2
chrI	115961	+	3
chrI	115983	+	6
chrI	117394	+	7
chrI	118326	+	2
chrI	119948	+	6
chrI	119974	+	5
chrI	120140	+	1
chrI	120231	+	5
chrI	120233	+	2
chrI	120243	+	2
chrI	120266	+	19
chrI	120267	+	1
chrI	120268	+	1
chrI	120298	+	16
chrI	120395	+	1
chrI	120405	+	1
chrI	120434	+	18
chrI	120451	+	2
chrI	120476	+	1
chrI	120501	+	32
chrI	120502	+	1
chrI	120640	+	3
chrI	120791	+	1
chrI	121080	+	2
chrI	121302	+	6
chrI	121512	+	3
chrI	121705	+	3
chrI	121743	+	1
chrI	122843	+	3
chrI	123486	+	3
chrI	123628	+	3
chrI	123756	+	8
chrI	123991	+	3
chrI	124809	+	1
chrI	124892	+	3
chrI	124893	+	1
chrI	124895	+	3
chrI	125164	+	8
chrI	125267	+	7
chrI	125269	+	1
chrI	125361	+	1
chrI	125382	+	12
chrI	125393	+	3
chrI	125425	+	1
chrI	125947	+	2
chrI	126007	+	1
chrI	126594	+	1
chrI	126599	+	3
chrI	126607	+	1
chrI	126639	+	13
chrI	126686	+	1
chrI	126703	+	1
chrI	127242	+	1
chrI	128821	-	4
chrI	128823	-	2
chrI	128856	-	1
chrI	129051	-	4
chrI	129436	+	19
chrI	130705	+	3
chrI	130734	+	19
chrI	130746	+	2
chrI	130762	+	2
chrI	130768	+	7
chrI	130769	+	1
chrI	130776	+	1
chrI	130839	+	1
chrI	130856	+	2
chrI	130901	+	1
chrI	130906	+	13
chrI	130936	+	2
chrI	130939	+	6
chrI	130940	+	1
chrI	130969	+	2
chrI	131025	+	1
chrI	131063	+	8
chrI	131064	+	2
chrI	131065	+	24
chrI	131079	+	3
chrI	131085	+	5
chrI	131092	+	1
chrI	131182	+	2
chrI	131191	+	4
chrI	131193	+	1
chrI	131205	+	5
chrI	131284	+	6
chrI	131289	+	8
chrI	131304	+	18
chrI	131342	+	1
chrI	131348	+	7
chrI	131351	+	1
chrI	131363	+	1
chrI	131367	+	1
chrI	131377	+	6
chrI	131414	+	1
chrI	131469	+	6
chrI	131490	+	2
chrI	131503	+	29
chrI	131507	+	2
chrI	131553	+	1
chrI	131670	+	2
chrI	131673	+	1
chrI	131674	+	6
chrI	131676	+	3
chrI	131687	+	1
chrI	131708	+	1
chrI	131757	+	1
chrI	131786	+	4
chrI	131789	+	1
chrI	131790	+	1
chrI	131791	+	20
chrI	131814	+	3
chrI	131823	+	3
chrI	132238	+	1
chrI	133122	+	1
chrI	135962	+	1
chrI	136151	+	4
chrI	137574	-	6
chrI	137581	-	1
chrI	137625	-	1
chrI	137780	-	3
chrI	137782	-	5
chrI	137843	-	1
chrI	137844	-	11
chrI	138361	-	1
chrI	139138	+	5
chrI	139139	+	59
chrI	139141	+	1
chrI	139142	+	10
chrI	139144	+	1
chrI	139145	+	1
chrI	139146	+	1
chrI	139148	+	6
chrI	139150	+	14
chrI	139151	+	99
chrI	139152	+	1
chrI	139153	+	1
chrI	139156	+	1
chrI	139157	+	6
chrI	139158	+	3
chrI	139160	+	22
chrI	139161	+	11
chrI	139162	+	4
chrI	139163	+	23
chrI	139164	+	14
chrI	139165	+	1
chrI	139166	+	31
chrI	139167	+	1
chrI	139168	+	10
chrI	139169	+	2
chrI	139170	+	10
chrI	139172	+	3
chrI	139173	+	3
chrI	139174	+	3
chrI	139175	+	7
chrI	139177	+	1
chrI	139178	+	3
chrI	139181	+	16
chrI	139182	+	18
chrI	139183	+	2
chrI	139185	+	8
chrI	139186	+	3
chrI	139187	+	1
chrI	139191	+	9
chrI	139192	+	1
chrI	139193	+	3
chrI	139194	+	1
chrI	139197	+	17
chrI	139198	+	29
chrI	139199	+	15
chrI	139200	+	16
chrI	139201	+	2
chrI	139202	+	1
chrI	139212	+	1
chrI	139213	+	3
chrI	139218	+	1
chrI	139227	+	2
chrI	139234	+	1
chrI	139239	+	3
chrI	139241	+	1
chrI	139427	-	6
chrI	139428	-	3
chrI	139439	-	1
chrI	139444	-	1
chrI	139445	-	6
chrI	139460	-	1
chrI	139462	-	3
chrI	139465	-	7
chrI	139466	-	1
chrI	139468	-	14
chrI	139482	-	1
chrI	139498	-	1
chrI	139508	-	2
chrI	139509	-	6
chrI	139520	-	5
chrI	139522	-	1
chrI	139570	-	2
chrI	139573	-	11
chrI	139574	-	22
chrI	139589	-	7
chrI	139599	-	1
chrI	139615	-	2
chrI	139620	-	1
chrI	139622	-	2
chrI	139629	-	1
chrI	139657	-	1
chrI	139671	-	1
chrI	139715	-	4
chrI	139722	-	1
chrI	139741	-	1
chrI	139768	-	3
chrI	139795	-	3
chrI	139807	-	1
chrI	139816	-	2
chrI	139828	-	1
chrI	139829	-	18
chrI	139831	-	2
chrI	139834	-	1
chrI	139840	-	5
chrI	139845	-	4
chrI	139848	-	3
chrI	139856	-	4
chrI	139859	-	1
chrI	139890	-	3
chrI	139898	-	7
chrI	139900	-	6
chrI	139901	-	7
chrI	139905	-	1
chrI	139909	-	13
chrI	139913	-	2
chrI	139914	-	7
chrI	139917	-	15
chrI	139932	-	8
chrI	139933	-	5
chrI	139934	-	6
chrI	139935	-	8
chrI	139944	-	1
chrI	139945	-	1
chrI	139946	-	6
chrI	139947	-	1
chrI	139950	-	2
chrI	139953	-	10
chrI	139954	-	7
chrI	139966	-	1
chrI	139967	-	44
chrI	139969	-	1
chrI	139972	-	1
chrI	139976	-	2
chrI	139978	-	1
chrI	139980	-	15
chrI	139982	-	5
chrI	139984	-	12
chrI	139985	-	3
chrI	139986	-	29
chrI	139987	-	67
chrI	139995	-	2
chrI	139998	-	1
chrI	140003	-	8
chrI	140011	-	3
chrI	140014	-	4
chrI	140018	-	2
chrI	140019	-	1
chrI	140021	-	8
chrI	140026	-	8
chrI	140036	-	2
chrI	140039	-	1
chrI	140052	-	1
chrI	140053	-	50
chrI	140071	-	11
chrI	140092	-	2
chrI	140093	-	22
chrI	140104	-	1
chrI	140106	-	6
chrI	140111	-	16
chrI	140112	-	5
chrI	140113	-	1
chrI	140115	-	11
chrI	140120	-	3
chrI	140122	-	1
chrI	140125	-	4
chrI	140136	-	2
chrI	140180	-	2
chrI	140203	-	3
chrI	140205	-	22
chrI	140214	-	17
chrI	140227	-	2
chrI	140229	-	1
chrI	140230	-	40
chrI	140234	-	2
chrI	140242	-	1
chrI	140243	-	2
chrI	140244	-	3
chrI	140245	-	4
chrI	140247	-	2
chrI	140250	-	16
chrI	140251	-	2
chrI	140262	-	2
chrI	140264	-	1
chrI	140265	-	27
chrI	140268	-	12
chrI	140269	-	19
chrI	140287	-	4
chrI	140294	-	3
chrI	140304	-	3
chrI	140305	-	3
chrI	140306	-	2
chrI	140311	-	2
chrI	140331	-	4
chrI	140335	-	1
chrI	140354	-	9
chrI	140382	-	13
chrI	140384	-	15
chrI	140418	-	13
chrI	140425	-	1
chrI	140444	-	2
chrI	140447	-	2
chrI	140455	-	8
chrI	140489	-	6
chrI	140490	-	6
chrI	140495	-	22
chrI	140503	-	1
chrI	140514	-	1
chrI	140529	-	16
chrI	140550	-	1
chrI	140559	-	1
chrI	140560	-	4
chrI	140561	-	3
chrI	140564	-	20
chrI	140565	-	14
chrI	140566	-	5
chrI	140572	-	7
chrI	140578	-	2
chrI	140580	-	12
chrI	140595	-	1
chrI	140598	-	1
chrI	140601	-	4
chrI	140606	-	1
chrI	140616	-	5
chrI	140619	-	1
chrI	140644	-	8
chrI	140645	-	5
chrI	140653	-	1
chrI	140701	-	1
chrI	140708	-	1
chrI	140709	-	18
chrI	140710	-	1
chrI	140723	-	1
chrI	140728	-	1
chrI	140729	-	14
chrI	140735	-	1
chrI	140736	-	25
chrI	140744	-	18
chrI	140745	-	2
chrI	140747	-	1
chrI	140749	-	2
chrI	140759	-	2
chrI	140760	-	15
chrI	140761	-	2
chrI	140773	-	1
chrI	140786	-	7
chrI	140825	-	3
chrI	140828	-	1
chrI	140829	-	1
chrI	140848	-	10
chrI	140849	-	15
chrI	140851	-	8
chrI	140852	-	4
chrI	140854	-	1
chrI	140856	-	3
chrI	140876	-	1
chrI	140880	-	4
chrI	140886	-	3
chrI	140892	-	22
chrI	140898	-	2
chrI	140912	-	1
chrI	140920	-	11
chrI	140922	-	1
chrI	140923	-	13
chrI	140924	-	1
chrI	140925	-	18
chrI	140940	-	3
chrI	140941	-	15
chrI	140983	-	2
chrI	140990	-	7
chrI	140991	-	1
chrI	140993	-	18
chrI	140995	-	16
chrI	141000	-	12
chrI	141002	-	2
chrI	141011	-	4
chrI	141013	-	1
chrI	141083	-	1
chrI	141096	-	1
chrI	141099	-	1
chrI	141111	-	1
chrI	141118	-	1
chrI	141122	-	2
chrI	141123	-	1
chrI	141125	-	1
chrI	141134	-	1
chrI	141135	-	1
chrI	141181	-	1
chrI	141184	-	1
chrI	141204	-	1
chrI	141207	-	3
chrI	141219	-	1
chrI	141220	-	36
chrI	141221	-	4
chrI	141223	-	1
chrI	141234	-	1
chrI	141236	-	14
chrI	141237	-	2
chrI	141238	-	26
chrI	141249	-	2
chrI	141250	-	1
chrI	141255	-	6
chrI	141256	-	6
chrI	141259	-	1
chrI	141266	-	2
chrI	141298	-	5
chrI	141300	-	3
chrI	141304	-	1
chrI	141307	-	4
chrI	141308	-	5
chrI	141321	-	21
chrI	141324	-	1
chrI	141336	-	4
chrI	141347	-	2
chrI	141353	-	1
chrI	141357	-	13
chrI	141371	-	14
chrI	141373	-	7
chrI	141378	-	10
chrI	141380	-	1
chrI	141430	-	11
chrI	141432	-	19
chrI	141433	-	29
chrI	141461	-	2
chrI	141469	-	1
chrI	141470	-	3
chrI	141488	-	1
chrI	142145	+	1
chrI	142154	+	1
chrI	142163	+	5
chrI	142164	+	2
chrI	142167	+	2
chrI	142171	+	1
chrI	142178	+	1
chrI	142181	+	1
chrI	142182	+	8
chrI	142188	+	1
chrI	142189	+	17
chrI	142190	+	1
