chromosome	start	end	strand	ID
chrI	9368	9872	+	lncRNA_1
chrI	24071	25647	+	lncRNA_2
chrI	27107	29200	+	lncRNA_3
chrI	30048	30904	+	lncRNA_4
chrI	43195	45575	+	lncRNA_5
chrI	54270	54502	+	lncRNA_6
chrI	68698	69767	+	lncRNA_7
chrI	69947	70789	+	lncRNA_8
chrI	137755	138299	+	lncRNA_9
chrI	138480	138829	+	lncRNA_10
chrI	143437	143597	+	lncRNA_11
chrI	165379	165694	+	lncRNA_12
chrI	170500	172544	+	lncRNA_13
chrI	179266	180782	+	lncRNA_14
chrI	198620	199910	+	lncRNA_15
chrI	208992	209306	+	lncRNA_16
chrI	213112	213376	+	lncRNA_17
chrI	3555	4181	-	lncRNA_18
chrI	4200	4614	-	lncRNA_19
chrI	5024	6332	-	lncRNA_20
chrI	10732	11140	-	lncRNA_21
chrI	22797	23181	-	lncRNA_22
chrI	28083	29772	-	lncRNA_23
chrI	30532	30892	-	lncRNA_24
chrI	31434	34748	-	lncRNA_25
chrI	34785	35094	-	lncRNA_26
chrI	35169	35466	-	lncRNA_27
chrI	35519	36348	-	lncRNA_28
chrI	67850	67962	-	lncRNA_29
chrI	70534	71510	-	lncRNA_30
chrI	93756	93970	-	lncRNA_31
chrI	151617	152052	-	lncRNA_32
chrI	182934	183520	-	lncRNA_33
chrI	183726	184290	-	lncRNA_34
chrI	189625	190048	-	lncRNA_35
chrI	191617	192201	-	lncRNA_36
chrI	199986	200426	-	lncRNA_37
chrI	202802	203082	-	lncRNA_38
chrI	203115	203478	-	lncRNA_39
chrI	206264	206535	-	lncRNA_40
chrI	206565	206939	-	lncRNA_41
chrI	207338	207991	-	lncRNA_42
chrI	220271	220908	-	lncRNA_43
chrI	221299	222888	-	lncRNA_44
chrII	10710	13904	+	lncRNA_45
chrII	30515	34078	+	lncRNA_46
chrII	46579	47370	+	lncRNA_47
chrII	96352	96568	+	lncRNA_48
chrII	100437	100995	+	lncRNA_49
chrII	101029	101248	+	lncRNA_50
chrII	121728	122395	+	lncRNA_51
chrII	137916	138256	+	lncRNA_52
chrII	138301	138622	+	lncRNA_53
chrII	152342	152772	+	lncRNA_54
chrII	164459	165004	+	lncRNA_55
chrII	191988	192340	+	lncRNA_56
chrII	196308	196732	+	lncRNA_57
chrII	227180	227409	+	lncRNA_58
chrII	237742	237926	+	lncRNA_59
chrII	238398	238947	+	lncRNA_60
chrII	240797	241325	+	lncRNA_61
chrII	241686	242790	+	lncRNA_62
chrII	251153	252231	+	lncRNA_63
chrII	252925	255058	+	lncRNA_64
chrII	258253	258959	+	lncRNA_65
chrII	269792	270208	+	lncRNA_66
chrII	276760	278816	+	lncRNA_67
chrII	288301	288868	+	lncRNA_68
chrII	291945	292848	+	lncRNA_69
chrII	296288	296576	+	lncRNA_70
chrII	306271	307104	+	lncRNA_71
chrII	310633	310953	+	lncRNA_72
chrII	321256	321845	+	lncRNA_73
chrII	324408	325361	+	lncRNA_74
chrII	326297	326777	+	lncRNA_75
chrII	329491	330226	+	lncRNA_76
chrII	336546	336999	+	lncRNA_77
chrII	337193	337803	+	lncRNA_78
chrII	339602	339946	+	lncRNA_79
chrII	340994	342578	+	lncRNA_80
chrII	356233	356626	+	lncRNA_81
