chromosome	type	start	end	strand	id	name
chrIV	blocked_reading_frame	721071	721481	-	YDR134C	
chrV	blocked_reading_frame	375215	377614	-	YER109C	FLO8
chrIX	blocked_reading_frame	29032	30048	+	YIL167W	SDL1
chrIX	blocked_reading_frame	437043	438179	-	YIR043C	
chrXV	blocked_reading_frame	36822	38567	-	YOL153C	
chrXV	blocked_reading_frame	389213	389422	+	YOR031W	CRS5
chrI	gene	335	649	+	YAL069W	
chrI	gene	538	792	+	YAL068W-A	
chrI	gene	1807	2169	-	YAL068C	PAU8
chrI	gene	2480	2707	+	YAL067W-A	
chrI	gene	7235	9016	-	YAL067C	SEO1
chrI	gene	10091	10399	+	YAL066W	
chrI	gene	11565	11951	-	YAL065C	
chrI	gene	12046	12426	+	YAL064W-B	
chrI	gene	13363	13743	-	YAL064C-A	TDA8
chrI	gene	21566	21850	+	YAL064W	
chrI	gene	22395	22685	-	YAL063C-A	
chrI	gene	24000	27968	-	YAL063C	FLO9
chrI	gene	31567	32940	+	YAL062W	GDH3
chrI	gene	33448	34701	+	YAL061W	BDH2
chrI	gene	35155	36303	+	YAL060W	BDH1
chrI	gene	36496	36918	-	YAL059C-A	
chrI	gene	36509	37147	+	YAL059W	ECM1
chrI	gene	37464	38972	+	YAL058W	CNE1
chrI	gene	38696	39046	-	YAL056C-A	
chrI	gene	39259	41901	+	YAL056W	GPB2
chrI	gene	42177	42719	+	YAL055W	PEX22
chrI	gene	42881	45022	-	YAL054C	ACS1
chrI	gene	45899	48250	+	YAL053W	FLC2
chrI	gene	48564	51707	+	YAL051W	OAF1
chrI	gene	51855	52595	-	YAL049C	AIM2
chrI	gene	52801	54789	-	YAL048C	GEM1
chrI	gene	54584	54913	+	YAL047W-A	
chrI	gene	54989	56857	-	YAL047C	SPC72
chrI	gene	57029	57385	-	YAL046C	AIM1
chrI	gene	57488	57796	-	YAL045C	
chrI	gene	57518	57850	+	YAL044W-A	
chrI	gene	57950	58462	-	YAL044C	GCV3
chrI	gene	58695	61052	-	YAL043C	PTA1
chrI	gene	61231	61608	-	YAL042C-A	
chrI	gene	61316	62563	+	YAL042W	ERV46
chrI	gene	62840	65404	+	YAL041W	CDC24
chrI	gene	65778	67520	-	YAL040C	CLN3
chrI	gene	68716	69525	-	YAL039C	CYC3
chrI	gene	71786	73288	+	YAL038W	CDC19
chrI	gene	72326	73300	-	YAL037C-B	
chrI	gene	73426	73518	-	YAL037C-A	
chrI	gene	74020	74823	+	YAL037W	
chrI	gene	75043	76152	-	YAL036C	RBG1
chrI	gene	76427	79435	+	YAL035W	FUN12
chrI	gene	79489	79842	-	YAL034C-B	
chrI	gene	79718	80587	+	YAL034W-A	MTW1
chrI	gene	80710	81951	-	YAL034C	FUN19
