chromosome	type	id	strand	orf.start	orf.end	utr3.start	utr3.end	utr5.start	utr5.end
chrM	gene	Q0010	+	3952	4338	4339	4473	3817	3951
chrM	gene	Q0017	+	4254	4415	4416	4550	4119	4253
chrM	gene	Q0032	+	11667	11957	11958	12092	11532	11666
chrM	gene	Q0045	+	13818	26701	26702	26810	13683	13817
chrM	gene	Q0050	+	13818	16322	16323	16457	13683	13817
chrM	gene	Q0055	+	13818	18830	18831	18965	13683	13817
chrM	gene	Q0060	+	13818	19996	19997	20131	13683	13817
chrM	gene	Q0065	+	13818	21935	21936	22149	13683	13817
chrM	gene	Q0070	+	13818	23167	23168	23846	13683	13817
chrM	gene	Q0075	+	24156	25255	25256	25390	24021	24155
chrM	gene	Q0080	+	27666	27812	27813	28106	27645	27665
chrM	gene	Q0085	+	28487	29266	29267	29494	27879	28486
chrM	gene	Q0092	+	30874	31014	31015	31149	30739	30873
chrM	gene	Q0105	+	36540	43647	43648	43654	36405	36539
chrM	gene	Q0110	+	36540	38579	38580	38714	36405	36539
chrM	gene	Q0115	+	36540	40265	40266	40400	36405	36539
chrM	gene	Q0120	+	36540	42251	42252	42386	36405	36539
chrM	gene	Q0130	+	46723	46953	46954	47014	46675	46722
chrM	gene	Q0140	+	48901	50097	50098	50232	48766	48900
chrM	gene	Q0142	+	51052	51228	51229	51363	50917	51051
chrM	gene	Q0143	+	51277	51429	51430	51564	51142	51276
chrM	gene	Q0144	+	54109	54438	54439	54573	53974	54108
chrM	gene	Q0160	+	61022	61729	61730	61864	60887	61021
chrM	gene	Q0182	+	65770	66174	66175	66309	65635	65769
chrM	gene	Q0250	+	73758	74513	74514	74648	73623	73757
chrM	gene	Q0255	+	74495	75984	75985	76119	74360	74494
chrM	gene	Q0275	+	79213	80022	80023	80087	79147	79212
chrM	gene	Q0297	+	85554	85709	85710	85844	85419	85553
chrI	gene	YAL002W	+	143707	147531	147532	147566	143527	143706
chrI	gene	YAL003W	+	142174	143160	143161	143495	142144	142173
chrI	gene	YAL004W	+	140760	141407	141408	141543	140609	140759
chrI	gene	YAL008W	+	136914	137510	137511	137644	136843	136913
chrI	gene	YAL009W	+	135854	136633	136634	136886	135827	135853
chrI	gene	YAL011W	+	132199	134076	134077	134176	132170	132198
chrI	gene	YAL012W	+	130799	131983	131984	132084	130691	130798
chrI	gene	YAL013W	+	129270	130487	130488	130588	129235	129269
chrI	gene	YAL016W	+	124879	126786	126787	126856	124789	124878
chrI	gene	YAL017W	+	120225	124295	124296	124504	119684	120224
chrI	gene	YAL019W	+	114919	118314	118315	118397	114812	114918
chrI	gene	YAL019W-A	+	114250	114819	114820	114954	113560	114249
chrI	gene	YAL027W	+	94687	95472	95473	95579	94483	94686
chrI	gene	YAL028W	+	92900	94486	94487	94544	92789	92899
chrI	gene	YAL030W	+	87286	87752	87753	87857	87263	87285
chrI	gene	YAL031W-A	+	84669	84977	84978	85112	84534	84668
chrI	gene	YAL033W	+	82706	83227	83228	83301	82689	82705
chrI	gene	YAL034W-A	+	79718	80587	80588	80677	79696	79717
chrI	gene	YAL035W	+	76427	79435	79436	79559	76382	76426
chrI	gene	YAL037W	+	74020	74823	74824	74895	73636	74019
chrI	gene	YAL038W	+	71786	73288	73289	73619	71754	71785
chrI	gene	YAL041W	+	62840	65404	65405	65462	62752	62839
chrI	gene	YAL042W	+	61316	62563	62564	62674	61276	61315
chrI	gene	YAL044W-A	+	57518	57850	57851	57963	57373	57517
chrI	gene	YAL047W-A	+	54584	54913	54914	55048	54449	54583
chrI	gene	YAL051W	+	48564	51707	51708	51858	48497	48563
chrI	gene	YAL053W	+	45899	48250	48251	48328	45434	45898
chrI	gene	YAL055W	+	42177	42719	42720	43418	42157	42176
chrI	gene	YAL056W	+	39259	41901	41902	41994	39139	39258
chrI	gene	YAL058W	+	37464	38972	38973	39132	37414	37463
chrI	gene	YAL059W	+	36509	37147	37148	37248	36406	36508
chrI	gene	YAL060W	+	35155	36303	36304	36421	34786	35154
chrI	gene	YAL061W	+	33448	34701	34702	34852	33221	33447
chrI	gene	YAL062W	+	31567	32940	32941	33365	31389	31566
chrI	gene	YAL064W	+	21566	21850	21851	21985	21431	21565
chrI	gene	YAL064W-B	+	12046	12426	12427	12561	11911	12045
chrI	gene	YAL066W	+	10091	10399	10400	10534	9956	10090
chrI	gene	YAL067W-A	+	2480	2707	2708	2842	2345	2479
chrI	gene	YAL068W-A	+	538	792	793	927	403	537
chrI	gene	YAL069W	+	335	649	650	784	200	334
chrI	gene	YAR002W	+	152257	153876	153877	154014	152215	152256
chrI	gene	YAR003W	+	155005	156285	156286	156781	154918	155004
chrI	gene	YAR008W	+	158966	159793	159794	160245	158851	158965
chrI	gene	YAR015W	+	169375	170295	170296	170598	169259	169374
