chromosome	type	start	end	strand	id	name	transcript.start	transcript.end
chrM	gene	3952	4338	+	Q0010		3817	4473
chrM	gene	4254	4415	+	Q0017		4119	4550
chrM	gene	11667	11957	+	Q0032		11532	12092
chrM	gene	13818	26701	+	Q0045	COX1	13683	26810
chrM	gene	13818	16322	+	Q0050	AI1	13683	16457
chrM	gene	13818	18830	+	Q0055	AI2	13683	18965
chrM	gene	13818	19996	+	Q0060	AI3	13683	20131
chrM	gene	13818	21935	+	Q0065	AI4	13683	22149
chrM	gene	13818	23167	+	Q0070	AI5_ALPHA	13683	23846
chrM	gene	24156	25255	+	Q0075	AI5_BETA	24021	25390
chrM	gene	27666	27812	+	Q0080	ATP8	27645	28106
chrM	gene	28487	29266	+	Q0085	ATP6	27879	29494
chrM	gene	30874	31014	+	Q0092		30739	31149
chrM	gene	36540	43647	+	Q0105	COB	36405	43654
chrM	gene	36540	38579	+	Q0110	BI2	36405	38714
chrM	gene	36540	40265	+	Q0115	BI3	36405	40400
chrM	gene	36540	42251	+	Q0120	BI4	36405	42386
chrM	gene	46723	46953	+	Q0130	OLI1	46675	47014
chrM	gene	48901	50097	+	Q0140	VAR1	48766	50232
chrM	gene	51052	51228	+	Q0142		50917	51363
chrM	gene	51277	51429	+	Q0143		51142	51564
chrM	gene	54109	54438	+	Q0144		53974	54573
chrM	gene	61022	61729	+	Q0160	SCEI	60887	61864
chrM	gene	65770	66174	+	Q0182		65635	66309
chrM	gene	73758	74513	+	Q0250	COX2	73623	74648
chrM	gene	74495	75984	+	Q0255		74360	76119
chrM	gene	79213	80022	+	Q0275	COX3	79147	80087
chrM	gene	85554	85709	+	Q0297		85419	85844
chrI	gene	143707	147531	+	YAL002W	VPS8	143527	147566
chrI	gene	142174	143160	+	YAL003W	EFB1	142144	143495
chrI	gene	140760	141407	+	YAL004W		140609	141543
chrI	gene	136914	137510	+	YAL008W	FUN14	136843	137644
chrI	gene	135854	136633	+	YAL009W	SPO7	135827	136886
chrI	gene	132199	134076	+	YAL011W	SWC3	132170	134176
chrI	gene	130799	131983	+	YAL012W	CYS3	130691	132084
chrI	gene	129270	130487	+	YAL013W	DEP1	129235	130588
chrI	gene	124879	126786	+	YAL016W	TPD3	124789	126856
chrI	gene	120225	124295	+	YAL017W	PSK1	119684	124504
chrI	gene	114919	118314	+	YAL019W	FUN30	114812	118397
chrI	gene	114250	114819	+	YAL019W-A		113560	114954
chrI	gene	94687	95472	+	YAL027W	SAW1	94483	95579
chrI	gene	92900	94486	+	YAL028W	FRT2	92789	94544
chrI	gene	87286	87752	+	YAL030W	SNC1	87263	87857
chrI	gene	84669	84977	+	YAL031W-A		84534	85112
chrI	gene	82706	83227	+	YAL033W	POP5	82689	83301
chrI	gene	79718	80587	+	YAL034W-A	MTW1	79696	80677
chrI	gene	76427	79435	+	YAL035W	FUN12	76382	79559
chrI	gene	74020	74823	+	YAL037W		73636	74895
chrI	gene	71786	73288	+	YAL038W	CDC19	71754	73619
chrI	gene	62840	65404	+	YAL041W	CDC24	62752	65462
chrI	gene	61316	62563	+	YAL042W	ERV46	61276	62674
chrI	gene	57518	57850	+	YAL044W-A		57373	57963
chrI	gene	54584	54913	+	YAL047W-A		54449	55048
chrI	gene	48564	51707	+	YAL051W	OAF1	48497	51858
chrI	gene	45899	48250	+	YAL053W	FLC2	45434	48328
chrI	gene	42177	42719	+	YAL055W	PEX22	42157	43418
chrI	gene	39259	41901	+	YAL056W	GPB2	39139	41994
chrI	gene	37464	38972	+	YAL058W	CNE1	37414	39132
chrI	gene	36509	37147	+	YAL059W	ECM1	36406	37248
chrI	gene	35155	36303	+	YAL060W	BDH1	34786	36421
chrI	gene	33448	34701	+	YAL061W	BDH2	33221	34852
chrI	gene	31567	32940	+	YAL062W	GDH3	31389	33365
chrI	gene	21566	21850	+	YAL064W		21431	21985
chrI	gene	12046	12426	+	YAL064W-B		11911	12561
chrI	gene	10091	10399	+	YAL066W		9956	10534
chrI	gene	2480	2707	+	YAL067W-A		2345	2842
chrI	gene	538	792	+	YAL068W-A		403	927
chrI	gene	335	649	+	YAL069W		200	784
chrI	gene	152257	153876	+	YAR002W	NUP60	152215	154014
chrI	gene	155005	156285	+	YAR003W	SWD1	154918	156781
chrI	gene	158966	159793	+	YAR008W	SEN34	158851	160245
chrI	gene	169375	170295	+	YAR015W	ADE1	169259	170598
chrI	gene	174998	175330	+	YAR019W-A		174863	175465
chrI	gene	183770	184477	+	YAR027W	UIP3	183761	184727
chrI	gene	184892	185596	+	YAR028W		184805	185793
chrI	gene	186321	186545	+	YAR029W		185705	186680
chrI	gene	186836	187732	+	YAR031W	PRM9	186701	187867
chrI	gene	188107	188811	+	YAR033W	MST28	187972	188946
chrI	gene	190193	192256	+	YAR035W	YAT1	190058	192391
chrI	gene	192619	196185	+	YAR042W	SWH1	192525	196350
chrI	gene	203403	208016	+	YAR050W	FLO1	203268	208151
chrI	gene	208367	208663	+	YAR053W		208232	208798
chrI	gene	220198	220497	+	YAR064W		220063	220632
chrI	gene	221049	221660	+	YAR066W		220914	221795
chrI	gene	222406	222891	+	YAR068W		222271	223026
chrI	gene	227742	228953	+	YAR073W	IMD1	227607	229088
chrI	gene	228844	229317	+	YAR075W		228709	229452
chrII	gene	236492	236887	+	YBL002W	HTB2	236443	237561
chrII	gene	227636	235117	+	YBL004W	UTP20	227545	235221
chrII	gene	217470	220400	+	YBL005W	PDR3	217146	221063
chrII	gene	216711	216860	+	YBL006W-A		216576	217145
chrII	gene	209653	212175	+	YBL008W	HIR1	209588	212210
chrII	gene	209409	209648	+	YBL008W-A		209274	209783
chrII	gene	207194	209224	+	YBL009W	ALK2	207160	209346
chrII	gene	203538	205817	+	YBL011W	SCT1	202918	206023
chrII	gene	202056	203261	+	YBL013W	FMT1	201921	203396
chrII	gene	194122	195702	+	YBL015W	ACH1	193977	196221
chrII	gene	192451	193512	+	YBL016W	FUS3	192225	193768
chrII	gene	184353	185915	+	YBL019W	APN2	184218	186536
chrII	gene	182401	184125	+	YBL020W	RFT1	182243	184203
chrII	gene	172534	174588	+	YBL024W	NCL1	172422	174704
chrII	gene	171481	171918	+	YBL025W	RRN10	171356	171992
chrII	gene	170623	171038	+	YBL026W	LSM2	170230	171279
chrII	gene	168423	169376	+	YBL027W	RPL19B	168388	169467
chrII	gene	166134	167264	+	YBL029W		165840	167881
chrII	gene	161699	162715	+	YBL031W	SHE1	161660	162941
chrII	gene	160184	161329	+	YBL032W	HEK2	160035	161517
chrII	gene	147209	150286	+	YBL037W	APL3	147028	150427
chrII	gene	146187	146885	+	YBL038W	MRPL16	146138	146993
chrII	gene	143393	143572	+	YBL039W-B		142726	143689
chrII	gene	141247	141972	+	YBL041W	PRE7	141205	142020
chrII	gene	136688	137461	+	YBL043W	ECM13	136554	137684
chrII	gene	135998	136366	+	YBL044W		135863	136501
chrII	gene	132424	133749	+	YBL046W	PSY4	132293	134063
chrII	gene	127299	127610	+	YBL048W	RRT1	127164	128375
chrII	gene	126828	127244	+	YBL049W	MOH1	126133	127792
chrII	gene	125125	126119	+	YBL050W	SEC17	125047	126182
chrII	gene	119335	119709	+	YBL053W		119326	119844
chrII	gene	117589	119166	+	YBL054W	TOD6	117488	119361
chrII	gene	113762	115168	+	YBL056W	PTC3	113620	115562
chrII	gene	111437	112708	+	YBL058W	SHP1	111406	112826
chrII	gene	110594	111244	+	YBL059W		110567	111289
chrII	gene	107932	109995	+	YBL060W	YEL1	107872	110041
chrII	gene	105308	105688	+	YBL062W		105240	105823
chrII	gene	101886	105221	+	YBL063W	KIP1	101880	105239
chrII	gene	99963	100307	+	YBL065W		99828	100442
chrII	gene	92414	93394	+	YBL068W	PRS4	92360	93478
chrII	gene	91794	92030	+	YBL068W-A		91659	92162
chrII	gene	90741	92030	+	YBL069W	AST1	90684	92162
chrII	gene	89978	90226	+	YBL071W-A	KTI11	89938	90474
chrII	gene	87646	87957	+	YBL073W		87511	88092
chrII	gene	75259	79767	+	YBL079W	NUP170	75200	80047
chrII	gene	71866	72972	+	YBL081W		71558	73031
chrII	gene	63876	66818	+	YBL085W	BOI1	63533	66908
chrII	gene	49574	50953	+	YBL089W	AVT5	49445	51002
chrII	gene	48825	49358	+	YBL090W	MRP21	48645	49478
chrII	gene	45645	46370	+	YBL092W	RPL32	45545	46464
chrII	gene	43277	44089	+	YBL095W	MRX3	43271	44209
chrII	gene	40831	43095	+	YBL097W	BRN1	40751	43270
chrII	gene	39145	40527	+	YBL098W	BNA4	39123	40651
chrII	gene	37053	38690	+	YBL099W	ATP1	36628	38957
chrII	gene	28427	28546	+	YBL100W-C		28292	29021
chrII	gene	24098	24745	+	YBL102W	SFT2	23913	24894
chrII	gene	9268	9372	+	YBL107W-A		9133	9507
chrII	gene	8177	8482	+	YBL108W		8042	8851
chrII	gene	5790	6125	+	YBL109W		5655	6260
chrII	gene	646	1128	+	YBL113W-A		511	1263
chrII	gene	242809	244230	+	YBR003W	COQ1	242786	244360
chrII	gene	245906	246547	+	YBR005W	RCR1	245825	246773
chrII	gene	247010	248503	+	YBR006W	UGA2	246890	248622
chrII	gene	256331	256741	+	YBR010W	HHT1	256185	257164
chrII	gene	270247	270633	+	YBR016W		270209	271071
chrII	gene	279021	280607	+	YBR020W	GAL1	278886	280749
chrII	gene	281443	283344	+	YBR021W	FUR4	281248	283687
chrII	gene	283738	284271	+	YBR022W	POA1	283653	284807
chrII	gene	289445	290350	+	YBR024W	SCO2	289334	290567
chrII	gene	298292	299950	+	YBR030W	RKM3	298048	300065
chrII	gene	300166	301254	+	YBR031W	RPL4A	299997	301349
chrII	gene	301519	301821	+	YBR032W		301350	301956
chrII	gene	301944	304703	+	YBR033W	EDS1	301350	304749
chrII	gene	311898	314789	+	YBR038W	CHS2	311805	314977
chrII	gene	315575	316510	+	YBR039W	ATP3	315441	316690
chrII	gene	316968	317864	+	YBR040W	FIG1	316641	317999
chrII	gene	318266	320275	+	YBR041W	FAT1	318198	320457
chrII	gene	331833	332360	+	YBR047W	FMP23	331702	332441
chrII	gene	332831	333812	+	YBR048W	RPS11B	332746	334022
chrII	gene	337988	338338	+	YBR051W		337853	338421
chrII	gene	343101	344135	+	YBR054W	YRO2	342572	344571
chrII	gene	347879	349384	+	YBR056W		347727	349426
chrII	gene	351255	351455	+	YBR056W-A		351072	351901
chrII	gene	367763	368191	+	YBR064W		367628	368326
chrII	gene	380411	381046	+	YBR071W		380297	381308
chrII	gene	382030	382674	+	YBR072W	HSP26	381957	383074
chrII	gene	386286	389216	+	YBR074W	PFF1	386216	389314
chrII	gene	393123	394742	+	YBR078W	ECM33	392889	395369
chrII	gene	409169	410629	+	YBR083W	TEC1	409014	410823
chrII	gene	411054	413981	+	YBR084W	MIS1	410935	414143
chrII	gene	415983	416906	+	YBR085W	AAC3	415883	417074
chrII	gene	423765	424829	+	YBR087W	RFC5	423752	424881
chrII	gene	425183	425782	+	YBR089W		425048	426051
chrII	gene	432036	434297	+	YBR094W	PBY1	431980	434388
chrII	gene	436021	436713	+	YBR096W		435937	436783
chrII	gene	436951	441315	+	YBR097W	VPS15	436912	441390
chrII	gene	441515	443590	+	YBR098W	MMS4	441429	444191
chrII	gene	447709	449316	+	YBR103W	SIF2	447481	449421
chrII	gene	449667	450656	+	YBR104W	YMC2	449587	450766
chrII	gene	452658	453224	+	YBR106W	PHO88	452588	453367
chrII	gene	454822	457665	+	YBR108W	AIM3	454763	457809
chrII	gene	458872	460221	+	YBR110W	ALG1	458698	460371
chrII	gene	462139	462579	+	YBR111W-A	SUS1	461854	462738
chrII	gene	465566	466048	+	YBR113W		465431	466183
chrII	gene	467248	469620	+	YBR114W	RAD16	467157	469676
chrII	gene	477671	479047	+	YBR118W	TEF2	477434	479135
chrII	gene	479338	480323	+	YBR119W	MUD1	479015	481015
chrII	gene	486507	486866	+	YBR124W		486372	487001
chrII	gene	490850	491056	+	YBR126W-A		490468	491227
chrII	gene	490927	491070	+	YBR126W-B		490468	491227
chrII	gene	497163	499277	+	YBR131W	CCZ1	497131	499480
